PondID,pH,Salinity,Carbonate,BiCarbonate,Alkalinity,Hardness,Calcium,Magnesium,Ammonia,DateofReport,Coincidence,Date of Image,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
TUPILIPALEM_A7,8.4,37,30,170,200,6600,388,1506,0.01,,1,8/23/2022,324,1003,1427,1161,1126,1482,1502,1494,1446,1602,1646,1567,2408
TUPILIPALEM_A8,8.5,37,30,190,220,6660,386,1512,0.01,,1,8/23/2022,324,1101,1528,1290,798,1054,992,1488,1412,1462,999,1449,3224
TUPILIPALEM_A2,8.5,40,40,130,170,7040,426,1568,0.05,,1,8/28/2022,444,542,1026,813,582,980,612,1352,986,974,366,847,1042
TUPILIPALEM_A3,8.6,37,40,140,180,6460,386,1502,0.02,,1,8/28/2022,444,576,771,727,499,960,530,1080,926,1035,342,857,883
TUPILIPALEM_A4,8.5,36,30,140,170,6300,374,1466,0.02,,1,8/28/2022,444,569,497,599,628,1066,690,921,508,449,294,244,1441
TUPILIPALEM_A5,8.2,40,20,180,200,7060,432,1571,0.01,,1,8/28/2022,444,527,387,327,532,878,563,608,279,426,236,349,1151
TUPILIPALEM_B1,8,30,0,200,200,5600,328,1232,0.02,,1,8/28/2022,444,609,583,570,507,704,518,1022,704,618,371,450,1498
TUPILIPALEM_B2,8.7,40,50,110,160,7200,442,1571,0.01,,1,8/28/2022,444,459,910,761,554,1010,640,1239,776,870,508,955,811
TUPILIPALEM_B3,8.6,41,40,120,160,7400,456,1588,0.01,,1,8/28/2022,444,524,902,821,514,930,529,1366,1061,971,315,802,1057
TUPILIPALEM_B4,8.7,40,50,100,150,7100,436,1556,0.1,,1,8/28/2022,444,573,658,728,494,1026,573,1172,838,755,334,491,1426
TUPILIPALEM_B5,8.6,40,50,120,160,7080,438,1562,0,,1,8/28/2022,444,546,941,724,446,766,471,988,652,833,203,998,1299
TUPILIPALEM_B6,8.3,33,30,150,180,5800,352,1261,0,,1,8/28/2022,444,552,795,626,464,630,414,1075,625,621,182,640,792
TUPILIPALEM_B7,8.3,35,20,160,180,6020,378,1324,0,,1,8/28/2022,444,538,523,421,532,932,650,882,373,316,306,238,976
TUPILIPALEM_B8,8.3,31,20,200,220,5400,336,1242,0,,1,8/28/2022,444,505,416,468,432,616,380,519,354,356,225,273,1422
TUPILIPALEM_A1,8.3,38,30,140,170,6500,400,1521,0.02,,1,8/28/2022,444,715,2129,1551,1126,1586,1662,2328,2413,2462,2220,2529,1990
TUPILIPALEM_A6,8.4,38,20,150,180,6800,400,1532,0.01,,1,8/28/2022,444,512,553,454,472,763,400,849,589,515,247,351,874
TUPILIPALEM_A7,8.4,37,30,170,200,6600,388,1506,0.01,,1,8/28/2022,444,476,921,688,588,946,758,933,821,1028,766,1030,773
TUPILIPALEM_A8,8.5,37,30,190,220,6660,386,1512,0.01,,1,8/28/2022,444,446,698,508,366,612,334,689,556,715,147,696,1117
TUPILIPALEM_A3,8.6,35,40,130,170,6200,336,1412,0.04,,0,9/12/2022,168,795,1150,908,666,1062,708,1500,1249,1254,918,1281,2490
TUPILIPALEM_A4,8.5,35,40,120,160,6260,332,1428,0.03,,0,9/12/2022,168,860,1053,688,688,1162,784,1257,936,893,870,1038,2667
TUPILIPALEM_A5,8.4,40,30,130,160,7200,460,1521,0.05,,0,9/12/2022,168,834,883,689,638,864,728,990,798,923,822,877,2612
TUPILIPALEM_A2,7.9,40,0,180,180,7200,458,1516,0.05,,0,9/12/2022,168,771,1230,1053,668,988,761,1522,1432,1388,902,1396,2366
TUPILIPALEM_B1,8.5,32,30,130,160,5300,302,1224,0.02,,0,9/12/2022,168,817,1000,799,636,926,773,1335,1119,1025,824,1105,2418
TUPILIPALEM_B2,8.4,40,30,140,170,7280,466,1572,0.04,,0,9/12/2022,168,793,1296,1077,722,1100,954,1361,1225,1472,978,1378,2416
TUPILIPALEM_B3,8.5,41,30,140,170,7500,468,1586,0.02,,0,9/12/2022,168,851,1200,1019,686,1104,854,1674,1555,1435,848,1548,2550
TUPILIPALEM_B4,8.5,37,30,120,150,6400,386,1457,0.05,,0,9/12/2022,168,888,1186,889,658,1162,758,1652,1374,1139,883,1297,2619
TUPILIPALEM_B5,8.3,37,20,140,160,6460,388,1458,0.01,,0,9/12/2022,168,869,1196,1061,710,1010,830,1253,1149,1439,795,1219,2520
TUPILIPALEM_B6,8.4,34,30,130,160,5880,368,1352,0.01,,0,9/12/2022,168,935,1046,962,962,1364,1018,1422,1245,1388,892,1239,2526
TUPILIPALEM_B7,8.6,35,50,130,170,6200,398,1376,0.01,,0,9/12/2022,168,843,907,785,800,1164,874,1158,1023,1034,885,969,2472
TUPILIPALEM_B8,8.6,33,50,130,180,5880,352,1284,0.02,,0,9/12/2022,168,908,1136,770,724,1074,844,1240,995,1022,924,1120,2665
TUPILIPALEM_A1,8.5,25,30,140,170,6260,330,1421,0.01,,0,9/12/2022,168,817,1032,747,759,1170,1038,1431,1173,1111,988,1132,2344
TUPILIPALEM_A6,8.3,35,20,1150,170,6100,308,1416,0.01,,0,9/12/2022,168,830,960,783,820,1208,937,1390,1148,1076,943,1080,2476
TUPILIPALEM_A7,8.5,35,30,170,200,6240,328,1421,0.03,,0,9/12/2022,168,900,1207,1026,948,1308,1246,1588,1393,1559,1418,1386,2491
TUPILIPALEM_A8,8.5,35,30,170,200,6060,318,1482,0.02,,0,9/12/2022,168,879,1219,988,820,1132,926,1432,1174,1336,934,1158,2555
VAVILLAPALEM_A1,7.9,12,0,140,140,3400,324,381,0,,1,12/16/2022,154,623,327,242,610,822,508,917,722,743,475,695,644
VAVILLAPALEM_A2,8.1,10,10,140,150,2700,228,281,0,,1,12/16/2022,153,595,355,265,576,719,467,856,667,620,446,574,551
VAVILLAPALEM_A3,8,11,0,160,160,3060,264,302,0,,1,12/16/2022,153,673,381,276,642,839,536,910,680,747,472,584,931
VAVILLAPALEM_A4,8.2,10,20,150,170,2660,224,271,0.001,,1,12/16/2022,152,745,498,359,790,1024,666,1083,851,954,706,769,1135
VAVILLAPALEM_A5,7.9,13,0,150,150,3800,364,392,0.03,,1,12/16/2022,151,728,541,334,824,864,709,999,893,993,874,828,734
VAVILLAPALEM_A6,7.9,15,0,140,140,4200,640,726,0.06,,1,12/16/2022,151,665,280,225,636,758,558,954,909,870,804,734,1001
VAVILLAPALEM_A7,7.9,14,0,130,130,4060,622,704,0.06,,1,12/16/2022,150,620,376,254,538,600,411,841,745,757,531,662,1223
VAVILLAPALEM_B1,7.8,9,0,140,140,2500,148,186,0.05,,1,12/16/2022,152,621,846,533,700,942,665,1115,1488,1620,546,1613,638
VAVILLAPALEM_B2,7.8,10,0,140,140,2700,184,222,0.02,,1,12/16/2022,152,607,561,392,600,759,488,990,821,957,518,752,639
VAVILLAPALEM_B3,8,12,0,120,120,3400,256,364,0.01,,1,12/16/2022,151,612,475,300,592,770,458,898,739,1010,456,728,594
VAVILLAPALEM_B4,8.3,10,20,130,150,2760,188,221,0.04,,1,12/16/2022,150,634,304,257,704,950,610,1016,740,711,548,679,626
VAVILLAPALEM_B7,7.9,14,0,100,100,3500,348,381,0.03,,1,12/16/2022,150,605,554,437,578,626,452,956,1278,1158,666,1232,791
VAVILLAPALEM_B8,8,13,0,120,120,3660,288,371,0.02,,1,12/16/2022,150,586,673,477,542,662,452,953,1181,1175,718,1058,966
VAVILLAPALEM_B9,7.7,17,0,130,130,4400,424,422,0.06,,1,12/16/2022,150,570,567,401,513,576,398,759,813,1034,462,790,654
VAVILLAPALEM_B5,7.8,15,0,130,130,3700,366,401,0.02,,1,12/16/2022,150,636,403,278,613,785,476,973,803,789,561,630,710
VAVILLAPALEM_B6,8,10,0,140,140,2800,188,221,0.05,,1,12/16/2022,150,637,725,445,574,660,474,1143,1427,1481,678,1465,891
TUPILIPALEM_B7,8.6,21,40,110,150,4500,424,835,0,2/16/2023,2,2/14/2023,228,983,4614,4539,1366,1992,2540,3049,3076,3287,3284,3352,3342
TUPILIPALEM_B8,8.7,24,50,100,150,4700,360,923,0,2/16/2023,2,2/14/2023,228,727,1879,1638,730,1028,1152,1650,1610,1645,1506,1689,2320
TUPILIPALEM_A1,7.5,32,0,170,170,6300,368,1106,0.02,4/21/2023,1,4/20/2023,336,572,1139,793,714,1026,1126,1570,1498,1555,1494,1437,1222
TUPILIPALEM_A6,8.2,31,20,150,170,6200,358,1186,0.06,4/21/2023,1,4/20/2023,336,443,622,415,370,676,418,845,532,572,243,367,877
TUPILIPALEM_A7,8.2,31,20,150,170,6260,348,1181,0.05,4/21/2023,1,4/20/2023,336,436,760,614,410,752,540,1031,691,748,566,823,745
TUPILIPALEM_A8,8.3,30,30,150,180,6060,340,1164,0.05,4/21/2023,1,4/20/2023,336,482,795,597,334,628,383,921,493,514,207,581,1076
TUPILIPALEM_B1,7.6,28,0,160,160,5600,358,1142,0.07,4/21/2023,1,4/20/2023,336,550,630,508,505,758,568,657,362,395,182,230,1179
TUPILIPALEM_B2,8.5,35,30,140,170,6700,400,1266,0.07,4/21/2023,1,4/20/2023,336,436,1028,934,378,746,465,945,764,753,384,759,866
TUPILIPALEM_B3,8.2,36,20,130,150,6880,424,1271,0.04,4/21/2023,1,4/20/2023,336,479,878,805,355,690,449,1008,759,808,232,582,1019
TUPILIPALEM_B4,8.4,32,30,140,170,5800,366,1191,0.05,4/21/2023,1,4/20/2023,336,502,729,625,366,670,442,792,369,404,264,202,1103
TUPILIPALEM_B5,8.1,31,10,140,150,5660,358,1178,0.04,4/21/2023,1,4/20/2023,336,484,744,591,369,664,413,800,600,605,171,687,1131
TUPILIPALEM_B6,8.3,30,30,150,170,5600,344,1172,0.05,4/21/2023,1,4/20/2023,336,459,524,467,439,845,440,906,678,691,323,550,662
TUPILIPALEM_B7,8.3,30,20,150,170,5600,340,1166,0.05,4/21/2023,1,4/20/2023,336,534,407,316,478,720,500,826,501,515,390,288,756
TUPILIPALEM_B8,7.5,29,0,160,160,5500,328,1142,0.07,4/21/2023,1,4/20/2023,336,556,619,468,704,916,738,734,359,368,289,229,1136
TUPILIPALEM_C8,8.4,30,30,150,180,5600,338,1126,0.04,4/21/2023,1,4/20/2023,336,482,488,371,392,689,457,600,259,241,253,124,922
TUPILIPALEM_A3,8.2,27,20,160,180,5300,300,1020,0.04,4/21/2023,1,4/20/2023,336,485,774,646,447,763,507,1090,564,604,373,501,872
TUPILIPALEM_A4,8,30,0,150,150,5800,344,1182,0.04,4/21/2023,1,4/20/2023,336,478,576,504,440,724,438,752,303,295,325,115,1194
TUPILIPALEM_A5,7.8,32,0,140,149,6400,366,1202,0.05,4/21/2023,1,4/20/2023,336,473,308,251,382,576,422,533,157,142,193,200,998
TUPILIPALEM_A2,8.2,32,20,130,150,6360,372,1121,0.03,4/21/2023,1,4/20/2023,336,481,1111,976,365,656,386,1021,783,837,237,720,913
VAVILLAPALEM_A1,7.5,22,0,170,170,6400,864,981,0.04,25-04-23,0,4/25/2023,487,882,931,818,769,877,747,1105,832,880,718,800,1987
VAVILLAPALEM_A2,7.5,25,0,170,170,7100,924,1071,0.02,25-04-23,0,4/25/2023,492,663,953,797,846,1146,865,1203,826,880,714,762,655
VAVILLAPALEM_A3,7.7,20,0,160,160,5500,766,921,0.03,25-04-23,0,4/25/2023,486,884,1120,957,872,1146,963,1388,1016,1108,855,997,1502
VAVILLAPALEM_A4,7.6,20,0,150,150,5700,788,942,0.04,25-04-23,0,4/25/2023,486,1010,1088,924,819,1110,891,1395,1107,1229,993,1010,2011
VAVILLAPALEM_A5,7.6,20,0,160,160,5800,800,952,0.02,25-04-23,0,4/25/2023,486,769,942,715,670,816,598,1080,808,939,660,781,881
VAVILLAPALEM_A6,7.8,17,0,150,150,4800,578,686,0.02,25-04-23,0,4/25/2023,486,782,821,761,714,854,604,1008,824,867,692,616,1330
VAVILLAPALEM_A7,7.7,16,0,160,160,4660,544,671,0.01,25-04-23,0,4/25/2023,486,900,1121,880,678,820,628,1096,846,982,600,780,1855
VAVILLAPALEM_B2,7.7,20,0,170,170,5600,748,861,0.05,25-04-23,0,4/25/2023,488,633,1254,937,705,944,700,1295,952,1090,634,1138,1131
VAVILLAPALEM_B3,7.8,19,0,180,180,5400,732,834,0.03,25-04-23,0,4/25/2023,488,660,1216,962,784,1026,805,1362,949,1201,740,1117,1099
VAVILLAPALEM_B4,7.7,20,0,170,170,5500,732,866,0.02,25-04-23,0,4/25/2023,492,1191,1280,1201,1050,1430,1128,1558,1211,1193,947,1057,2266
VAVILLAPALEM_B7,7.7,20,0,150,150,5700,758,872,0.03,25-04-23,0,4/25/2023,486,665,1331,1264,710,914,690,1322,1326,1263,786,1151,993
VAVILLAPALEM_B8,7.8,15,0,160,160,5060,388,452,0.02,25-04-23,0,4/25/2023,492,644,1421,1157,688,938,688,1331,1280,1230,738,1218,1299
VAVILLAPALEM_B9,7.7,15,0,160,160,5100,400,466,0.02,25-04-23,0,4/25/2023,486,779,1335,988,643,807,596,1229,1036,1235,608,1223,1775
VAVILLAPALEM_A1,7.6,24,0,140,140,6880,900,1042,0.07,22-05-2023,2,5/20/2023,498,841,941,663,552,771,544,1103,889,944,658,781,1889
VAVILLAPALEM_A2,8,26,0,160,160,7700,966,1092,0.06,22-05-2023,2,5/20/2023,498,618,832,627,565,796,505,1017,827,890,558,669,543
VAVILLAPALEM_A3,7.5,25,0,130,130,7400,932,1042,0.08,22-05-2023,2,5/20/2023,498,803,961,710,539,749,558,1107,964,1001,608,769,1342
VAVILLAPALEM_A4,8,26,0,180,180,7600,958,1066,0.05,22-05-2023,2,5/20/2023,498,938,877,703,596,752,534,1073,927,942,664,765,1881
VAVILLAPALEM_A5,8.3,24,30,170,200,7100,932,1081,0.06,22-05-2023,2,5/20/2023,498,735,861,598,730,985,711,1093,870,920,849,787,729
VAVILLAPALEM_A6,7.9,22,0,160,160,6400,844,1016,0.06,22-05-2023,2,5/20/2023,498,780,840,604,510,723,481,901,715,720,578,584,1173
VAVILLAPALEM_A7,7.5,21,0,150,150,6600,872,1024,0.05,22-05-2023,2,5/20/2023,498,849,1193,821,466,588,452,959,738,723,478,750,1714
VAVILLAPALEM_B1,7.5,15,0,130,130,5200,388,461,0.04,22-05-2023,2,5/20/2023,498,559,1506,1161,429,570,414,1178,1167,1265,489,1495,813
VAVILLAPALEM_B2,8.3,28,30,140,170,5100,700,821,0.04,22-05-2023,2,5/20/2023,498,572,877,722,449,611,403,971,858,851,376,637,877
VAVILLAPALEM_B3,8,24,0,150,150,6500,868,942,0.05,22-05-2023,2,5/20/2023,498,608,903,728,530,750,471,1082,889,904,508,749,841
VAVILLAPALEM_B4,7.7,25,0,140,140,6800,900,961,0.08,22-05-2023,2,5/20/2023,498,1029,1340,976,622,848,559,1434,1243,1247,688,982,2343
VAVILLAPALEM_B7,7.7,25,0,140,140,6700,888,952,0.06,22-05-2023,2,5/20/2023,498,617,1342,1132,528,681,480,1108,970,1133,548,1052,841
VAVILLAPALEM_B8,8.2,20,20,160,180,5400,728,871,0.05,22-05-2023,2,5/20/2023,498,639,1478,1139,488,594,512,1129,1177,1332,596,1037,1212
VAVILLAPALEM_B9,7.8,21,0,150,150,5660,744,886,0.04,22-05-2023,2,5/20/2023,498,811,1431,1033,452,560,434,1096,1109,1139,452,976,1709
VAVILLAPALEM_A1,7.7,25,0,130,130,6700,908,1042,0.06,5/30/2023,0,5/30/2023,774,1829,1957,1419,1714,2202,1988,2629,2674,2718,2510,2592,4338
VAVILLAPALEM_A2,7.8,27,0,160,160,7000,944,1102,0.04,5/30/2023,0,5/30/2023,774,1449,1913,1353,1844,2160,1992,2483,2527,2579,2338,2519,3504
VAVILLAPALEM_A3,8.2,25,20,160,180,6760,918,1032,0.06,5/30/2023,0,5/30/2023,774,1567,1918,1373,1764,2230,2088,2573,2535,2634,2376,2358,3618
VAVILLAPALEM_A4,8.1,28,10,160,170,7800,984,1141,0.07,5/30/2023,0,5/30/2023,774,1664,1846,1330,1728,2104,1938,2461,2355,2521,2320,2371,3748
VAVILLAPALEM_A5,7.7,25,0,150,150,6800,924,1026,0.08,5/30/2023,0,5/30/2023,774,1425,1871,1330,1770,2098,1914,2478,2389,2517,2392,2411,3372
VAVILLAPALEM_A6,8.2,25,20,160,180,6800,928,1042,0.06,5/30/2023,0,5/30/2023,774,1480,1835,1295,1582,2004,1896,2341,2372,2339,2292,2330,3648
VAVILLAPALEM_A7,8.3,22,30,170,200,6400,826,1021,0.06,5/30/2023,0,5/30/2023,774,1636,2165,1515,1420,1960,1780,2408,2419,2529,2170,2552,3925
VAVILLAPALEM_B1,8,17,0,160,160,5660,424,496,0.04,5/30/2023,0,5/30/2023,774,1442,2328,1712,1696,2074,1902,2572,2818,2817,2244,3045,3485
VAVILLAPALEM_B2,7.6,24,0,130,130,6600,874,951,0.05,5/30/2023,0,5/30/2023,774,1400,1862,1401,1688,1992,1832,2396,2357,2546,2138,2336,3269
VAVILLAPALEM_B3,7.6,25,0,130,130,7040,924,984,0.07,5/30/2023,0,5/30/2023,774,1361,1895,1448,1648,2166,1908,2617,2522,2638,2352,2434,3121
VAVILLAPALEM_B4,7.8,27,0,140,140,7400,948,1086,0.1,5/30/2023,0,5/30/2023,774,1796,2162,1483,1820,2198,1958,2612,2684,2755,2432,2681,3706
VAVILLAPALEM_B7,7.9,25,0,150,150,6800,902,966,0.12,5/30/2023,0,5/30/2023,773,1424,2238,1584,1496,2030,1938,2506,2741,2778,2248,2882,3455
VAVILLAPALEM_B8,7.6,22,0,140,140,5800,756,871,0.12,5/30/2023,0,5/30/2023,773,1500,2297,1643,1594,2114,1960,2547,2696,2951,2242,2914,3559
VAVILLAPALEM_B9,8.2,24,20,150,170,6400,874,954,0.08,5/30/2023,0,5/30/2023,773,1611,2340,1681,1670,2138,2008,2585,2652,2891,2292,2755,3647
TUPILIPALEM_A1,8,35,0,140,140,7400,520,1458,0.04,7/9/2023,0,7/9/2023,198,398,599,388,322,591,382,642,364,349,213,368,674
TUPILIPALEM_A6,8.5,40,40,160,200,7900,526,1616,0.08,7/9/2023,0,7/9/2023,198,340,539,421,56,200,130,514,400,333,284,328,783
TUPILIPALEM_A7,8.1,40,10,170,180,7900,520,1603,0.08,7/9/2023,0,7/9/2023,198,333,822,790,281,514,509,992,764,1008,838,835,715
TUPILIPALEM_A8,8.2,40,20,150,170,7880,506,1586,0.05,7/9/2023,0,7/9/2023,198,370,870,797,108,196,186,937,581,833,323,607,943
TUPILIPALEM_A3,7.9,36,0,170,170,7560,584,1482,0.08,7/9/2023,0,7/9/2023,198,326,757,590,102,243,196,875,729,906,314,759,718
TUPILIPALEM_A4,7.7,35,0,160,160,7400,566,1471,0.1,7/9/2023,0,7/9/2023,198,349,658,373,142,389,241,644,500,468,294,440,1182
TUPILIPALEM_A5,8.5,40,30,150,180,7800,538,1621,0.12,7/9/2023,0,7/9/2023,198,338,424,274,106,212,157,572,268,431,273,320,1031
TUPILIPALEM_B1,8.2,40,20,180,200,7600,480,1555,0.04,7/9/2023,0,7/9/2023,198,473,631,392,290,666,406,903,634,538,349,490,867
TUPILIPALEM_B2,8.4,42,30,150,180,8100,544,1671,0.05,7/9/2023,0,7/9/2023,198,301,1070,792,168,392,296,931,850,854,488,850,626
TUPILIPALEM_B3,8,40,0,170,170,7800,488,1561,0.07,7/9/2023,0,7/9/2023,198,365,770,599,102,165,152,696,774,629,256,720,801
TUPILIPALEM_B4,8.1,40,0,150,150,7600,476,1572,0.06,7/9/2023,0,7/9/2023,198,373,738,454,151,230,194,752,683,583,294,605,858
TUPILIPALEM_B5,8.3,40,30,140,170,7800,520,1579,0.05,7/9/2023,0,7/9/2023,198,384,798,670,118,161,114,631,477,565,204,479,890
TUPILIPALEM_B6,8.3,39,30,120,150,7700,502,1566,0.05,7/9/2023,0,7/9/2023,198,295,516,468,99,229,168,663,558,517,283,419,595
TUPILIPALEM_B7,8.6,40,40,90,130,7800,594,1612,0.04,7/9/2023,0,7/9/2023,198,328,410,319,128,135,155,443,386,266,241,191,607
TUPILIPALEM_B8,7.7,39,0,120,120,8100,586,603,0.04,7/9/2023,0,7/9/2023,198,433,768,411,162,283,266,679,478,562,335,532,1118
ANDALAMALA,7.7,30,0,170,170,8200,1126,1212,0.02,4/25/2023,0,4/25/2023,492,786,662,614,800,988,768,888,534,570,522,523,558
ANDALAMALA,7.8,27,0,200,200,7400,1024,1161,0.03,4/25/2023,0,4/25/2023,492,841,863,743,846,952,748,993,701,719,560,626,856
GOVINDAPALLI,8.1,20,10,240,250,4800,360,947,0.02,4/25/2023,0,4/25/2023,492,1005,1016,961,780,980,844,1032,853,887,821,759,2331
KOKKUPADU,7.4,15,0,200,200,3500,340,661,0.03,9/27/2022,0,9/27/2022,431,276,195,263,162,340,152,532,89,96,0,37,904
KOKKUPADU,7.8,10,0,220,220,2500,180,498,0.03,4/20/2023,0,4/20/2023,336,596,756,552,472,618,449,626,373,514,287,338,1571
KOKKUPADU,7.9,10,0,200,200,2600,192,501,0.02,4/20/2023,0,4/20/2023,336,526,454,330,439,538,397,352,317,235,226,195,1159
KOKKUPADU,7.8,10,0,250,250,2460,176,482,0.03,4/20/2023,0,4/20/2023,336,604,502,300,366,461,344,360,274,220,298,311,1969
KOKKUPADU,8,13,0,280,280,3300,320,607,0.02,4/20/2023,0,4/20/2023,336,476,704,487,455,752,461,865,677,693,444,665,1328
KOKKUPADU,7.9,5,0,300,300,1150,104,216,0.02,4/20/2023,0,4/20/2023,336,532,306,211,417,716,424,831,369,465,426,231,1326
KONDURU,7.7,17,0,180,180,4800,540,842,0.06,4/25/2023,0,4/25/2023,492,685,777,844,612,830,580,1183,1088,957,620,715,1378
mallam,7.6,7,0,200,200,1800,312,264,0.06,9/27/2022,0,9/27/2022,408,688,343,354,214,309,158,628,406,443,267,197,2786
TIRUMURU,8.6,14,40,110,150,2400,144,495,0.03,9/27/2022,0,9/27/2022,414,349,782,483,195,260,113,610,481,458,118,585,1643
TIRUMURU,8.2,11,20,150,170,2300,184,424,0.04,9/27/2022,0,9/27/2022,414,395,396,252,143,325,117,550,308,429,99,273,1036
TIRUMURU,8.1,10,10,240,250,2100,160,413,0.06,9/27/2022,0,9/27/2022,413,355,74,107,248,596,192,581,183,124,0,75,796
TIRUMURU,8.4,13,30,120,150,2500,224,486,0.04,9/27/2022,0,9/27/2022,411,302,306,130,385,712,356,517,33,101,0,95,240
TIRUMURU,8.3,15,20,150,170,2700,240,510,0.07,9/27/2022,0,9/27/2022,410,408,327,349,374,638,277,354,239,111,41,358,680
TUPILIPALEM,8.3,20,30,150,180,4600,240,1069,0.01,9/27/2022,0,9/27/2022,420,247,397,331,222,299,122,673,323,438,57,216,457
TUPILIPALEM,7.9,10,0,200,200,2360,228,392,0.1,9/27/2022,0,9/27/2022,414,620,389,424,465,630,466,588,264,225,233,133,1664
TUPILIPALEM,7.8,20,0,200,200,4400,226,1071,0.03,9/27/2022,0,9/27/2022,420,385,406,396,115,180,42,326,53,204,0,16,1496
UTTHAMA NELLORE,8.2,12,20,110,130,3780,374,681,0.04,4/25/2023,0,4/25/2023,492,767,746,662,771,808,702,956,852,875,777,648,828
UTTHAMA NELLORE,8.3,12,30,110,120,3600,360,656,0.04,4/25/2023,0,4/25/2023,492,767,706,587,738,773,646,960,747,805,746,652,828
UTTHAMA NELLORE,7.8,11,0,170,170,3400,344,646,0.08,4/25/2023,0,4/25/2023,492,903,891,751,902,1024,880,1153,814,830,832,686,1633
VALAMEDU,8,12,0,180,180,2880,374,422,0.02,9/27/2022,0,9/27/2022,420,467,752,645,203,289,171,851,601,686,81,587,1342
VALAMEDU,7.8,16,0,200,200,5060,668,871,0.02,9/27/2022,0,9/27/2022,420,699,271,268,225,287,211,404,117,93,7,37,1594
